loan_id,loan_dates_year,loan_ammounts,loan_durations,loan_payments,loan_status,account_dates_yymd,transactions_number_per_account,last_transaction_date_per_account,transactions_last_balance_per_account,no_transactions_type_credit_per_account,no_transactions_type_withdrawal_per_account,avg_amount_of_transaction_credit_per_account,median_amount_of_transaction_credit_per_account,max_amount_of_transaction_credit_per_account,min_amount_of_transaction_credit_per_account,variance_amount_of_transaction_credit_per_account,avg_amount_of_transaction_withdrawal_per_account,median_amount_of_transaction_withdrawal_per_account,max_amount_of_transaction_withdrawal_per_account,min_amount_of_transaction_withdrawal_per_account,variance_amount_of_transaction_withdrawal_per_account,no_k_na_of_transaction_per_account,no_k_household_of_transaction_per_account,no_k_interest_credited_of_transaction_per_account,no_k_old_age_pension_of_transaction_per_account,no_k_insurrance_payment_of_transaction_per_account,no_k_payment_for_statement_of_transaction_per_account,no_k_sanction_interest_if_negative_balance_of_transaction_per_account,owner_gender_per_account,owner_birth_year_per_account,owner_district_n_inhab_per_account,owner_district_n_mun_inhab_0_499_per_account,owner_district_n_mun_inhab_500_1999_per_account,owner_district_n_mun_inhab_2000_9999_per_account,owner_district_n_mun_inhab_10000_inf_per_account,owner_district_n_cities_per_account,owner_district_ratio_urban_inhab_per_account,owner_district_average_salary_per_account,owner_district_unemploymant_95_per_account,owner_district_unemploymant_96_per_account,owner_district_n_enterp_per_1000_per_account,owner_district_n_crimes_95_per_account,owner_district_n_crimes_96_per_account
6087,94,300660,60,5011,1,930429,66,940223,33918.9,24,42,14927.6,7233.0,44519.0,39.4,280679910.6,7722.5,5200.0,48900.0,14.6,115488838.1,42,5,9,0,5,5,0,0,50,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
7262,94,182628,36,5073,1,931010,13,940228,45660.9,10,3,7666.1,3250.0,23204.0,67.1,70493943.0,10333.3,9800.0,12600.0,8600.0,2808888.9,9,0,4,0,0,0,0,0,59,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
5519,94,91632,12,7636,1,930308,70,940303,33061.9,27,43,8784.2,700.0,26378.0,54.1,90064173.8,4746.8,3532.0,18300.0,14.6,17171631.6,42,8,12,0,0,8,0,1,62,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
6577,94,51696,24,2154,1,930208,102,940305,38202.2,44,58,16547.0,9257.0,46889.0,119.6,261533655.3,11894.2,4454.5,59600.0,14.6,238346648.1,78,0,13,0,0,11,0,1,68,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
6509,94,55368,24,2307,1,930318,98,940313,12414.4,47,51,9204.9,314.8,48139.0,27.2,132720824.8,8239.5,3900.0,34100.0,14.6,75700463.7,66,0,22,0,0,10,0,1,39,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
6520,94,91200,24,3800,1,930728,36,940313,32715.3,18,18,10908.3,700.0,34198.0,16.0,148190563.5,9090.8,9939.5,22100.0,14.6,54707170.7,23,3,7,0,0,3,0,1,55,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
6699,94,7656,24,319,1,930328,81,940323,36353.1,36,45,7746.1,214.2,31677.0,9.2,119656987.9,5389.0,3360.0,21700.0,14.6,42080809.5,44,8,22,0,0,7,0,1,62,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
6336,94,212400,36,5900,1,930305,71,940330,64221.1,31,40,13977.9,7707.0,48828.0,71.5,275953212.7,9227.4,5150.0,42900.0,30.0,133820946.1,50,0,12,0,0,9,0,1,66,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
7055,94,167100,60,2785,1,930506,79,940401,39310.2,33,46,17751.1,16919.0,49980.0,91.4,268618222.7,11879.9,4950.0,49200.0,14.6,198382296.5,58,0,11,0,0,10,0,1,70,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
6103,94,149340,60,2489,1,930521,56,940331,23538.3,23,33,7546.8,1400.0,22404.0,32.2,66115241.9,4546.6,3100.0,13200.0,30.0,14657842.4,34,6,10,0,0,6,0,0,63,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
6202,94,65184,12,5432,1,930125,82,940416,67995.4,30,52,17495.9,16747.0,48891.0,21.6,313650894.8,8786.2,5390.0,39900.0,14.6,80958986.1,58,0,14,0,0,10,0,0,57,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
7066,94,215388,36,5983,-1,931127,15,940430,30662.8,10,5,6116.3,162.0,49757.0,18.0,219711165.1,6100.0,5200.0,11400.0,2600.0,10912000.0,8,0,7,0,0,0,0,0,59,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
6696,94,89040,60,1484,1,930412,87,940507,29305.8,44,43,3735.1,160.45,15843.0,25.2,26934044.8,3140.5,1700.0,11400.0,14.6,10400928.5,44,8,26,0,0,9,0,1,70,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
6072,94,193968,36,5388,1,931025,29,940504,80780.0,20,9,14309.0,7411.5,41783.0,52.4,246508237.7,22822.2,23400.0,54200.0,100.0,251123950.6,20,0,8,0,0,1,0,0,72,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
5130,94,24312,12,2026,1,930210,78,940506,28461.9,37,41,5601.6,1400.0,18231.0,35.5,39036279.1,4360.9,2300.0,24322.0,14.6,32547742.6,52,0,15,0,0,11,0,1,55,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
5568,94,272520,60,4542,1,930618,84,940514,30009.9,34,50,13755.8,9061.5,42400.0,13.3,198946483.2,8753.7,5753.5,56700.0,14.6,138704768.1,54,10,11,0,0,9,0,0,39,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
6678,94,80340,12,6695,1,930705,52,940505,89342.6,22,30,20306.6,7100.0,61260.0,147.8,448281380.1,11913.4,7000.0,39200.0,14.6,125309311.7,38,0,9,0,0,5,0,1,76,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6998,94,97632,12,8136,1,930724,65,940520,41330.1,20,45,25763.2,24958.0,73224.0,46.7,676771500.2,10531.9,6531.0,54700.0,14.6,135562578.2,45,6,9,0,0,5,0,1,68,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
6580,94,196080,48,4085,1,931003,47,940514,86857.4,20,27,14476.6,8100.0,46888.0,123.9,269538512.0,7506.5,4900.0,35700.0,14.6,62832000.8,35,0,7,0,0,5,0,0,58,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
6316,94,76908,12,6409,-1,930126,102,940521,14888.6,42,60,15876.1,9009.0,47434.0,17.0,267611151.5,10865.2,7400.0,52200.0,14.6,126562483.0,74,0,16,0,0,12,0,1,46,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
6512,94,63312,48,1319,1,930419,82,940514,28553.5,35,47,2763.9,3500.0,10500.0,26.5,6214788.7,1450.7,1200.0,4600.0,14.6,1426932.3,54,8,12,0,0,8,0,1,56,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
6407,94,25944,24,1081,1,930908,37,940512,69398.9,19,18,12249.3,600.0,36289.5,65.4,165762087.4,9074.4,3220.0,29900.0,14.6,100379185.3,25,0,8,0,0,4,0,1,60,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
5002,94,104808,12,8734,1,931126,30,940525,28015.4,12,18,9470.5,8906.5,25970.0,19.5,91433017.4,4757.3,3150.0,16400.0,14.6,20887716.5,20,2,5,0,2,1,0,0,39,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
6647,94,208320,48,4340,1,930207,85,940531,44213.1,33,52,12819.9,900.0,39060.0,79.0,195472132.5,7286.0,4750.0,29700.0,30.0,58650966.8,59,0,15,0,0,11,0,1,68,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
7137,94,151560,24,6315,1,931121,28,940601,21323.2,13,15,19058.4,300.0,56835.0,59.9,437456025.4,15095.7,13577.0,37200.0,14.6,116897908.9,19,1,6,0,0,2,0,0,53,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
6903,94,52128,24,2172,1,930913,71,940531,58659.8,39,32,6244.8,177.5,44473.0,38.7,150844092.4,5772.0,2800.0,27300.0,0.1,46266702.3,34,0,26,0,0,5,6,1,59,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
5918,94,300204,36,8339,1,930605,71,940531,33932.8,27,44,9277.4,300.0,28365.0,83.6,106180275.6,4921.7,5080.0,18300.0,14.6,16038587.7,43,8,12,0,0,8,0,0,64,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
6642,94,77640,12,6470,1,930707,60,940602,30825.8,22,38,18776.7,1400.0,58227.0,138.1,418236411.1,10059.5,6350.0,35000.0,30.0,93067954.4,44,0,10,0,0,6,0,0,67,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
6210,94,87216,48,1817,-1,931126,33,940531,21579.1,21,12,3691.8,149.9,16356.0,16.7,28315087.3,4653.1,4700.0,12600.0,14.6,12131167.9,17,2,12,0,0,2,0,0,64,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
6279,94,87360,24,3640,1,930721,30,940531,29072.5,16,14,8544.6,193.75,49341.0,63.3,235023527.8,7689.7,5950.0,22800.0,14.6,42733623.2,18,0,10,0,0,2,0,0,62,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
7249,94,69360,48,1445,1,930319,78,940610,38665.0,31,47,6597.1,6000.0,17782.0,34.2,42689089.5,3528.6,1800.0,13700.0,14.6,14983863.5,54,0,14,0,0,10,0,0,41,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
6736,94,288360,60,4806,1,940227,10,940531,43313.2,8,2,8081.3,468.55,27116.0,8.7,125343361.6,10600.0,10600.0,15200.0,6000.0,21160000.0,6,0,4,0,0,0,0,0,35,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6112,94,174744,24,7281,-1,930322,118,940615,6930.8,38,80,11542.8,7975.5,46739.0,33.3,183818090.7,5396.2,2070.0,37500.0,0.2,52992397.6,58,14,15,0,14,14,3,1,78,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
5319,94,239460,60,3991,1,930922,46,940619,36240.6,18,28,13387.9,12122.5,35918.0,30.4,187099450.9,7312.2,4850.0,23200.0,14.6,43766495.3,30,4,8,0,0,4,0,1,42,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
6596,94,91584,24,3816,1,931126,31,940624,49842.9,14,17,18390.4,16468.5,47906.0,29.4,354009090.3,12213.1,10436.0,30600.0,14.6,95351655.0,23,0,6,0,0,2,0,1,51,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
5837,94,244560,60,4076,1,931014,42,940620,21326.1,18,24,12456.2,1200.0,36680.0,65.4,193852667.3,8453.5,5100.0,24600.0,14.6,56633374.0,28,4,7,0,0,3,0,1,67,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
5657,94,4980,12,415,1,931105,46,940703,22500.3,19,27,5352.5,800.0,15528.0,35.6,32479842.3,2933.2,1540.0,16000.0,14.6,13976841.4,27,3,8,0,4,4,0,1,52,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
5533,94,111384,24,4641,1,930320,152,940702,52318.9,55,97,19164.7,16576.0,49388.0,29.0,277741967.2,10327.2,6500.0,61700.0,14.6,202493430.1,108,14,16,0,0,14,0,0,67,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
6232,94,276660,36,7685,-1,930828,58,940707,19783.2,30,28,3712.4,4987.0,11600.0,9.5,10826728.1,3271.0,2700.0,9800.0,14.6,7409026.7,35,7,10,0,0,6,0,0,49,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
6888,94,39576,12,3298,1,930204,115,940705,23901.1,53,62,9203.4,292.8,49603.0,21.3,221597108.0,7481.9,4017.0,38400.0,14.6,79380210.1,59,12,32,0,0,12,0,1,80,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505
6066,94,173808,24,7242,1,930623,75,940705,94431.9,26,49,26907.2,25340.5,74522.0,43.3,747506876.2,12350.1,7200.0,38200.0,100.0,125258417.8,55,0,12,0,0,8,0,1,57,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
5549,94,50460,60,841,1,931020,43,940710,41531.0,19,24,8327.1,3500.0,22927.5,32.6,72754801.0,4861.8,4870.0,15000.0,14.6,18986722.1,26,5,8,0,0,4,0,1,47,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
5060,94,252060,60,4201,-1,931129,61,940714,70096.5,26,35,14985.2,17694.0,49937.0,8.2,160742601.4,9129.1,4787.0,41700.0,14.6,104550430.7,44,5,7,0,0,5,0,1,65,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
6004,94,143904,24,5996,1,930220,139,940715,38336.2,47,92,14003.6,8356.0,46108.0,6.7,251382815.8,6737.3,2687.0,60500.0,14.6,95607869.2,91,16,17,0,0,15,0,0,51,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
5126,94,208128,48,4336,-1,930511,64,940721,81474.6,29,35,11823.7,5459.0,47493.0,30.9,236694516.8,7468.9,4500.0,36500.0,14.6,87868025.6,43,0,13,0,0,8,0,0,51,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
7220,94,131292,36,3647,1,930529,83,940723,31361.3,29,54,11868.2,2200.0,32823.0,12.1,152429203.3,5792.9,4300.0,24000.0,30.0,27248968.2,51,10,13,0,0,9,0,0,54,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6668,94,74736,36,2076,1,930626,67,940721,33243.7,26,41,11194.3,10656.0,30918.0,16.5,127995604.2,6288.0,6184.0,20000.0,14.6,32800072.9,39,8,12,0,0,8,0,0,65,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
5395,94,299088,36,8308,-1,930606,126,940723,19448.5,46,80,17668.7,14240.0,47189.0,46.2,272750239.8,9916.4,5135.0,59400.0,14.6,154515489.8,90,12,13,0,0,11,0,1,66,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
6836,94,189300,60,3155,1,930616,102,940731,24471.4,42,60,6502.7,139.3,28413.0,43.8,90372744.8,4142.7,2617.0,24960.0,14.6,25817280.2,58,9,26,0,0,9,0,0,53,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
6064,94,14628,12,1219,1,930701,102,940731,34902.8,29,73,7799.9,900.0,23230.5,49.4,68851389.2,2620.5,870.0,14100.0,2.0,11852250.6,64,8,13,0,8,9,0,1,49,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
6919,94,120888,36,3358,1,930327,96,940804,52014.4,36,60,13123.9,4050.0,48618.0,85.0,252596295.8,7007.4,3225.0,49200.0,30.0,95335052.1,56,12,15,0,0,13,0,1,44,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6841,94,172080,48,3585,1,940121,42,940731,58224.0,25,17,10714.0,287.2,45518.0,19.3,186470486.2,12331.7,12081.0,40100.0,14.6,135661474.0,25,0,13,0,0,4,0,1,57,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
6038,94,323472,48,6739,1,930621,57,940731,69179.8,28,29,13879.2,7350.0,44802.0,52.9,231621814.1,11015.1,7700.0,33900.0,14.6,108112123.6,37,5,9,0,0,6,0,1,40,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6729,94,74688,12,6224,1,930402,112,940806,28933.3,49,63,13496.9,244.7,56019.0,96.1,380048309.7,10038.4,7600.0,38400.0,14.6,78774818.5,56,12,32,0,0,12,0,1,45,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
7198,94,45768,12,3814,1,931122,27,940819,54427.5,22,5,4701.3,187.6,36574.0,24.2,77086172.3,9800.0,6800.0,23900.0,1000.0,62908000.0,15,0,12,0,0,0,0,1,77,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
6686,94,224604,36,6239,1,930324,93,940816,40287.4,34,59,20475.0,18868.7,56152.0,32.7,436045344.6,11116.3,7200.0,40000.0,14.6,111997058.2,65,0,16,0,0,12,0,0,76,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
5836,94,79632,24,3318,1,940408,16,940813,89746.5,10,6,24446.2,22505.0,66165.0,112.5,618544534.5,25786.0,22000.0,64300.0,9516.0,347527913.3,11,1,4,0,0,0,0,1,59,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
7061,94,121896,24,5079,1,930428,93,940821,41917.2,39,54,16312.0,11866.0,49558.0,17.7,299871198.9,11004.7,6300.0,64900.0,14.6,141186154.0,69,0,15,0,0,9,0,0,65,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
5595,94,82896,12,6908,1,930508,126,940831,64286.0,34,92,20655.9,1600.0,62168.0,130.5,524059348.3,7111.0,6350.0,38600.0,14.6,69348872.1,78,11,15,0,11,11,0,0,72,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
5723,94,23628,12,1969,1,930312,110,940903,64096.3,49,61,11783.9,8700.0,43694.0,1.7,167525888.0,8415.0,5513.0,35200.0,14.6,84093527.0,67,12,18,0,0,13,0,0,54,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
6120,94,209184,48,4358,1,930816,68,940910,44254.7,26,42,19731.8,18715.0,54645.0,70.1,401890931.3,11161.2,6992.0,61800.0,14.6,137877053.1,48,0,12,0,0,8,0,0,53,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6895,94,41904,12,3492,1,930124,143,940916,39204.7,63,80,7938.8,207.8,48546.0,0.8,196668676.3,5761.8,3550.0,51700.0,14.6,61884390.4,76,15,37,0,0,15,0,0,74,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
